ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
0c3310c7-0e1a-4cc7-a77f-b2eb270c7641_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Jubilado/a o pensionista,Comunidad Valenciana,29
ebfd00d2-656d-41aa-b2fe-58b1ed8e5645_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,3 personas,1 niño/a,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Andalucía,26
66b372e2-fb14-4b59-a3d7-b679819aeaa9_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Estudiante,Cataluña,50
2e267ad4-757c-4ccc-b47c-1ae2dae9b9ff_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar no adosada,3 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Estudiante,Andalucía,75
437ede2a-5669-4341-af23-98ce2ceb74c8_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Estudiante,Galicia,75
1f12b4df62408997_b981c2388d27d31f_140fb9f945cf802a_819f83f6c108df1e9bdd1f44ba944b77,Soltero/a,Mujer,Casa unifamiliar no adosada,3 personas,Ninguna,Educación secundaria,2501€ - 3000€,Estudiante,Andalucía,50
3c2d5ac0-a44e-4e39-b6dc-e56b983f9834_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,3 personas,1 niño/a,Grado o diplomatura,Más de 4000€,Trabajo a tiempo completo,Andalucía,75
05743571-b220-415d-8a11-f470a9c45acd_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,3 personas,1 niño/a,Grado o diplomatura,Más de 4000€,Trabajo a tiempo completo,Andalucía,75
dce0fedb-90ea-437c-998c-964f0053f77d_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,3 personas,1 niño/a,Grado o diplomatura,Más de 4000€,Trabajo a tiempo completo,Andalucía,73
2dbda6c8-4f8c-4224-8942-505776e0f18b_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",1000€ o menos,Desempleado/a,Comunidad Valenciana,15
814a68849764f31d_b981c2388d27d31f_140fb9f945cf802a_8ba4a49ce730c1180bd326b09728d524,Soltero/a,Mujer,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Estudiante,Andalucía,3
11f71b84-cda6-4f1e-a98f-fd354f8a7191_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Cataluña,39
dv07rvt8he8vbn25_b981c2388d27d31f_137d54d6aac5af7d_45faecc0af15bd0dd01b5059742cdbae,Divorciado/a o separado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Castilla-La Mancha,50
893657d33f817f07_b981c2388d27d31f_0ff49a297951d31a_89efedbcdbd71ce0a88a230d0f14d35a,Casado/a,Mujer,Casa unifamiliar adosada,4 personas,Ninguna,Educación secundaria,Más de 4000€,Desempleado/a,Aragón,100
13728a05-98fe-4e6b-8501-1aa28aa85fb0_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,3001€ - 4000€,Estudiante,Andalucía,59
2d7473e4-c53e-4e76-abdf-1386921974fa_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Jubilado/a o pensionista,Andalucía,50
1995fbd4-30f6-4101-a711-232176618d6b_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,1 niño/a,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Cataluña,83
2c122abb-db5b-4c7b-a32f-f402038d9f3b_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,50
91f4c534-428e-4864-955b-0180728feee5_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,3 personas,Ninguna,Educación secundaria,Prefiero no responder,Estudiante,Andalucía,32
da6131ce-61f4-4b7e-a0c4-c4937975b216_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Otro,4 personas,Ninguna,Educación secundaria,Prefiero no responder,Trabajo a tiempo completo,País Vasco,67
b677b32b525f4099_b981c2388d27d31f_c72d0a2a81a3b38d_9428e53405c54926ee1cfbc2a3ae7f8a,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar adosada,4 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Estudiante,Andalucía,50
8c1bc9f22d689f57_b981c2388d27d31f_6f6adb03b526513c_c01822b1086708fd72023d9e2a3b3d7a,Casado/a,Hombre,Casa unifamiliar adosada,3 personas,1 niño/a,Grado o diplomatura,Más de 4000€,Trabajo a tiempo completo,Región de Murcia,84
f481b191-c749-42dc-90c0-3469225174cd_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Andalucía,50
baf80cc5-b4d0-44b3-8cc0-eaa986c61268_b981c2388d27d31f,Viudo/a,Hombre,Casa unifamiliar adosada,Vivo solo/a,Ninguna,Educación primaria,1001€ - 1500€,Jubilado/a o pensionista,Castilla-La Mancha,61
c68096f0-8bac-42eb-a467-b9fa6e2c370c_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Castilla-La Mancha,50
0f290d84-caf9-4d82-80d2-b2fc11fd5828_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Jubilado/a o pensionista,Castilla-La Mancha,61
25fcc9cf-567e-449d-b03b-b549849c7039_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,2 personas,Ninguna,Educación secundaria,2001€ - 2500€,Jubilado/a o pensionista,Comunidad de Madrid,57
d56bab344d6f3b74_b981c2388d27d31f_37f61cb6d136d4a3_5812bf817091881cd2fd24e9fbba32b9,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",1001€ - 1500€,Trabajo a tiempo completo,Cataluña,25
ac6a5a06-ba41-4495-b050-cd2c86d69531_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Galicia,24
38cc5e8d-1998-4d84-9c2c-1b59559395cd_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Jubilado/a o pensionista,Comunidad de Madrid,75
e8b21e22-c159-49c0-b508-599a099d3a45_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Educación primaria,2001€ - 2500€,Jubilado/a o pensionista,Región de Murcia,73
0329ae42-37f1-452d-830e-9d185e9a3b6a_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Cataluña,24
